,City,FAA,IATA,ICAO,Airport,Role,Enplanements,State
420,MOSINEE,CWA,CWA,KCWA,Central Wisconsin Airport,P-N,124632.0,WISCONSIN
421,RHINELANDER,RHI,RHI,KRHI,Rhinelander–Oneida County Airport,P-N,24477.0,WISCONSIN
423,CASPER,CPR,CPR,KCPR,Casper–Natrona County International Airport,P-N,86905.0,WYOMING
424,CODY,COD,COD,KCOD,Yellowstone Regional Airport,P-N,39407.0,WYOMING
425,GILLETTE,GCC,GCC,KGCC,Gillette–Campbell County Airport,P-N,27136.0,WYOMING
426,JACKSON,JAC,JAC,KJAC,Jackson Hole Airport,P-N,381539.0,WYOMING
427,LARAMIE,LAR,LAR,KLAR,Laramie Regional Airport,P-N,17188.0,WYOMING
428,RIVERTON,RIW,RIW,KRIW,Central Wyoming Regional Airport (was Riverton Regional),P-N,11811.0,WYOMING
429,ROCK SPRINGS,RKS,RKS,KRKS,Southwest Wyoming Regional Airport (Rock Springs–Sweetwater County Airport),P-N,23020.0,WYOMING
430,SHERIDAN,SHR,SHR,KSHR,Sheridan County Airport,P-N,13182.0,WYOMING
432,"PAGO PAGO, TUTUILA",PPG,PPG,NSTU,Pago Pago International Airport,P-N,65439.0,AMERICAN SAMOA
434,AGANA / TAMUNING,GUM,GUM,PGUM,Antonio B. Won Pat International Airport,P-S,1444299.0,GUAM
436,"OBYAN, SAIPAN ISLAND",GSN,SPN,PGSN,Saipan International Airport (Francisco C. Ada),P-S,430275.0,NORTHERN MARIANAS
437,ROTA ISLAND,GRO,ROP,PGRO,Rota International Airport,P-N,19178.0,NORTHERN MARIANAS
438,TINIAN ISLAND,TNI,TIQ,PGWT,Tinian International Airport (West Tinian),P-N,38452.0,NORTHERN MARIANAS
440,AGUADILLA,BQN,BQN,TJBQ,Rafael Hernández International Airport,P-N,257871.0,PUERTO RICO
441,CEIBA,RVR,NRR,TJRV,José Aponte de la Torre Airport,P-N,43005.0,PUERTO RICO
442,CULEBRA,CPX,CPX,TJCP,Benjamín Rivera Noriega Airport,P-N,31141.0,PUERTO RICO
443,PONCE,PSE,PSE,TJPS,Mercedita International Airport,P-N,105804.0,PUERTO RICO
444,SAN JUAN / CAROLINA,SJU,SJU,TJSJ,Luis Muñoz Marín International Airport,P-M,4343354.0,PUERTO RICO
445,SAN JUAN / MIRAMAR,SIG,SIG,TJIG,Fernando Luis Ribas Dominicci Airport (Isla Grande Airport),P-N,24054.0,PUERTO RICO
446,VIEQUES,VQS,VQS,TJVQ,Antonio Rivera Rodríguez Airport,P-N,63104.0,PUERTO RICO
448,"CHARLOTTE AMALIE, ST. THOMAS",STT,STT,TIST,Cyril E. King Airport,P-N,729382.0,U.S. VIRGIN ISLANDS
449,"CHRISTIANSTED, ST. CROIX",STX,STX,TISX,Henry E. Rohlsen Airport,P-N,196047.0,U.S. VIRGIN ISLANDS
