,City,FAA,IATA,ICAO,Airport,Role,Enplanements,State
210,BEMIDJI,BJI,BJI,KBJI,Bemidji Regional Airport,P-N,25510.0,MINNESOTA
211,BRAINERD,BRD,BRD,KBRD,Brainerd Lakes Regional Airport,P-N,18200.0,MINNESOTA
212,DULUTH,DLH,DLH,KDLH,Duluth International Airport,P-N,124284.0,MINNESOTA
213,HIBBING,HIB,HIB,KHIB,Range Regional Airport (was Chisholm–Hibbing Airport),P-N,12654.0,MINNESOTA
214,INTERNATIONAL FALLS,INL,INL,KINL,Falls International Airport,P-N,13831.0,MINNESOTA
215,MINNEAPOLIS,MSP,MSP,KMSP,Minneapolis–St. Paul International Airport (Wold–Chamberlain Field),P-L,18123844.0,MINNESOTA
216,ROCHESTER,RST,RST,KRST,Rochester International Airport,P-N,112864.0,MINNESOTA
217,ST. CLOUD,STC,STC,KSTC,St. Cloud Regional Airport,P-N,15615.0,MINNESOTA
219,COLUMBUS,GTR,GTR,KGTR,Golden Triangle Regional Airport,P-N,40823.0,MISSISSIPPI
220,GULFPORT / BILOXI,GPT,GPT,KGPT,Gulfport–Biloxi International Airport,P-N,305157.0,MISSISSIPPI
221,JACKSON,JAN,JAN,KJAN,Jackson–Medgar Wiley Evers International Airport,P-S,491464.0,MISSISSIPPI
222,MERIDIAN,MEI,MEI,KMEI,Meridian Regional Airport (Key Field),P-N,26359.0,MISSISSIPPI
223,TUPELO,TUP,TUP,KTUP,Tupelo Regional Airport (C.D. Lemons Field),P-N,7539.0,MISSISSIPPI
225,COLUMBIA,COU,COU,KCOU,Columbia Regional Airport,P-N,65014.0,MISSOURI
226,JOPLIN,JLN,JLN,KJLN,Joplin Regional Airport,P-N,27930.0,MISSOURI
227,KANSAS CITY,MCI,MCI,KMCI,Kansas City International Airport (originally Mid-Continent International Airport),P-M,5391557.0,MISSOURI
228,SPRINGFIELD,SGF,SGF,KSGF,Springfield–Branson National Airport,P-S,462126.0,MISSOURI
229,ST. LOUIS,STL,STL,KSTL,St. Louis Lambert International Airport,P-M,6793076.0,MISSOURI
231,BILLINGS,BIL,BIL,KBIL,Billings Logan International Airport,P-N,423213.0,MONTANA
232,BOZEMAN,BZN,BZN,KBZN,Bozeman Yellowstone International Airport (was Gallatin Field Airport),P-S,553245.0,MONTANA
233,BUTTE,BTM,BTM,KBTM,Bert Mooney Airport,P-N,25890.0,MONTANA
234,GREAT FALLS,GTF,GTF,KGTF,Great Falls International Airport,P-N,176730.0,MONTANA
235,HELENA,HLN,HLN,KHLN,Helena Regional Airport,P-N,103239.0,MONTANA
236,KALISPELL,GPI,FCA,KGPI,Glacier Park International Airport,P-N,247816.0,MONTANA
